smiles,pred_proba
O=C(O)CCCCOc1cc(c(cc1F)OC)-c2cc(ccc2)-n3nc4c(n3)ccc(c4)C(F)(F)F,0.001027294013329083
N(=O)(=O)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.002424238670937484
N(=O)(=O)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(NC)=O)cc5,0.0015900318991043604
N(=O)(=O)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(NS(=O)(C)=O)cc5,0.0034949288281495685
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(NC)=O)cc5,0.0002516055500564107
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(Cl)5,0.0010432525785290636
O=C(O)CCCCOc1cc(c(cc1F)OC)-c2cc(ccc2)-c3oc4c(n3)cc(F)c(c4)F,0.019810013356618583
Fc1cc2nc(oc2cc(F)1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.005911804716743063
Fc1cc2nc(oc2cc(F)1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(NC)=O)cc5,0.003844428416050505
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.0018384044411504873
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5c(F)cc(N)cc5,0.00228111458272906
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(NC(=O)C)cc5,0.02693919508019462
FC(F)(F)c1cc2nc(oc2cc(F)1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.0031741210928885265
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5cccc(S(=O)(N)=O)c5,0.0005736241560953204
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(NS(=O)(C)=O)cc5,0.002663545054383576
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(NC)=O)cc5,0.0013321709811862092
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(NS(=O)(C)=O)cc5,0.0002109149723992232
N(=O)(=O)c1cc2nc(oc2cc1)-c3cc(cc(C(F)(F)F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(F)5,0.014561379241058603
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc(C)5,0.0018519991663197288
Fc1cc2nc(oc2cc(F)1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(F)5,0.007560778432525695
Fc1cc2nc(oc2cc(F)1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5cc(N)ccc5,0.004638393985806033
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5cc(N)ccc5,0.0033684067777357994
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(C)c3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(F)5,0.002345654721284518
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(NS(=O)(C)=O)cc5,0.0008485692833346548
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5cccc(N)c(Cl)5,7.261556094135812e-05
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(N)c(Cl)c5,0.0012610613623110112
Fc1cc2nc(oc2cc(F)1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(N)c(N)c(F)5,0.001303519454813795
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(cc(F)c3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(N(=O)=O)5,0.0003689197703351965
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5cc6c(cc5)cn[nH]6,0.003975433431332931
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ncn3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.000926593730400782
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ncn3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(Cl)5,0.0001639544067074894
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5cnc(N)nc5,0.00028124799315492054
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ncc3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(N)=O)cc5,0.0033876225541462192
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ncc3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(Cl)5,0.0012297510053031146
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccc3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(N)5,0.008695770206395536
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccn3)-c4c(OC)cc(F)c(c4)-c5ccc(N)cc(Cl)5,0.00034676205104915424
FC(F)(F)c1cc2nc(oc2cc1)-c3cc(ccn3)-c4c(OC)cc(F)c(c4)-c5ccc(S(=O)(=O)N)cc5,0.002504795596905751
NS(=O)(=O)c1ccc(cc1)CCNc2nc(nc3c2cccc3)-c4oc(nn4)-c5ccc(C)cc5,0.010050475143361836
c1cc(Cl)c(nc1)N([C@H]2CNCCC2)C(=O)c3ccc(cc3)-n4c5c(nn4)cccn5,0.0035474534292006866
c1ccc(cc1)COc2c(C)cc(cc2)C(=O)C=3C(c4ccncc4)N(C(C=3O)=O)CCCN5CCOCC5,0.007736630860017612
